correctedValue,originalValue,answerCode
3.4685,"3,4685",strike_
623,"623,",strike_
1.3275,"1,3275",strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
623,"623,",strike_
1.3275,"1,3275",strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
623,"623,",strike_
1.3275,"1,3275",strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
623,"623,",strike_
1.3275,"1,3275",strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
623,"623,",strike_
1.3275,"1,3275",strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
623,"623,",strike_
1.3275,"1,3275",strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
623,"623,",strike_
1.3275,"1,3275",strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
623,"623,",strike_
1.3275,"1,3275",strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
623,"623,",strike_
1.3275,"1,3275",strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
623,"623,",strike_
1.3275,"1,3275",strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
623,"623,",strike_
1.3275,"1,3275",strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
623,"623,",strike_
1.3275,"1,3275",strike_
1.2200,"1,2200",strike_
0.7050,.7050,strike_
3.4685,"3,4685",strike_
623,"623,",strike_
1.3275,"1,3275",strike_
